Phase,Index,Task,Inferred Answer,Correct Answer,Accuracy
Inference Before Training,5,"
h1. To choose
h2. A coin
h3. A European owl
h4. To slide; to skulk
h5. One who uses a hose; a good guy
v1. To subdue; to crumple; a hidden romantic attraction
v2. A greeting
v3. The Islamic name for Satan
v4. To sift
v5. One who eats
","[['P', 'I', 'C', 'K', ' '], ['P', 'E', 'N', 'N', 'Y'], ['T', 'A', 'W', 'N', 'Y'], ['S', 'N', 'E', 'A', 'K'], ['M', 'A', 'N', ' ', ' ']]","[['C', 'H', 'E', 'S', 'E'], ['R', 'E', 'B', 'I', 'A'], ['U', 'L', 'L', 'E', 'T'], ['S', 'L', 'I', 'V', 'E'], ['H', 'O', 'S', 'E', 'R']]",False
Inference Before Training,6,"
h1. To hold onto
h2. An enlarged tool
h3. Shaded or dyed; a 3 person card game using 40 cards
h4. To subdue; to terrify; a Central American timber tree
h5. A limestone region marked by sinks, abrupt ridges, protuberant rocks
v1. A frog sound; to die
v2. A semitone
v3. To exclude
v4. An interjection expressing exasperation; nonsense
v5. To salute
","[['C', 'L', 'I', 'N', 'G'], ['R', 'A', 'R', 'E', 'K'], ['O', 'B', 'L', 'O', 'C'], ['A', 'B', 'D', 'A', 'L'], ['K', 'A', 'R', 'S', 'T']]","[['C', 'L', 'I', 'N', 'G'], ['R', 'I', 'M', 'E', 'R'], ['O', 'M', 'B', 'R', 'E'], ['A', 'M', 'A', 'T', 'E'], ['K', 'A', 'R', 'S', 'T']]",False
Inference Before Training,7,"
h1. Is able
h2. A bard
h3. A theme; an attempt
h4. To sift
h5. A leather dresser; someone who shoots a marble
v1. A top; a heraldic device
v2. True being
v3. To undo the sewing of
v4. To depart; permission
v5. Desiccator; more dry
","[['C', 'A', 'N', 'D', 'R'], ['P', 'O', 'E', 'T', 'O'], ['T', 'R', 'Y', 'R', 'V'], ['C', 'U', 'L', 'L', 'E'], ['T', 'O', 'S', 'S', 'E']]","[['C', 'O', 'U', 'L', 'D'], ['R', 'U', 'N', 'E', 'R'], ['E', 'S', 'S', 'A', 'Y'], ['S', 'I', 'E', 'V', 'E'], ['T', 'A', 'W', 'E', 'R']]",False
Inference Before Training,8,"
h1. A music style; a dance hall
h2. To remove the hat
h3. Unhidden; explicit
h4. The minister's house
h5. To demand; to arrange;
v1. An Italian domed cathedral
v2. A nickel steel alloy
v3. To disgrace; to blame; to injure
v4. Low-lying fertile land
v5. A sea mammal; a fishing device
","[['R', 'A', 'G', 'T', 'I'], ['A', 'D', 'O', 'F', 'F'], ['G', 'C', 'L', 'E', 'A'], ['T', 'M', 'A', 'N', 'S'], ['I', 'K', 'A', 'S', 'K']]","[['D', 'I', 'S', 'C', 'O'], ['U', 'N', 'H', 'A', 'T'], ['O', 'V', 'E', 'R', 'T'], ['M', 'A', 'N', 'S', 'E'], ['O', 'R', 'D', 'E', 'R']]",False
Inference Before Training,9,"
h1. To belch, to burp
h2. A location
h3. To warn
h4. A dipsomaniac
h5. To come in
v1. To elude
v2. To win again
v3. Inept; irrelevant
v4. To execrate
v5. Purport; a trend; a singing voice
","[['E', 'R', 'U', 'C', 'T'], ['P', 'L', 'A', 'C', 'E'], ['A', 'L', 'E', 'R', 'T'], ['D', 'R', 'U', 'N', 'K'], ['E', 'N', 'T', 'E', 'R']]","[['E', 'R', 'U', 'C', 'T'], ['V', 'E', 'N', 'U', 'E'], ['A', 'W', 'A', 'R', 'N'], ['D', 'I', 'P', 'S', 'O'], ['E', 'N', 'T', 'E', 'R']]",False
Inference Before Training,10,"
h1. A custard
h2. A lithograph
h3. Anatomically on the inside
h4. An agendum; something to be done
h5. To combine
v1. A sharp surgical lancet used for opening veins to cause bloodletting; a bevel angle
v2. To strike or flog
v3. Corrupt matter from a sore; a tongue coating
v4. A bang; a leather thong; to shoot; a shive; the penis
v5. Would not
","[['C', 'R', 'E', 'M', 'E'], ['P', 'R', 'I', 'N', 'T'], ['I', 'N', 'N', 'E', 'R'], ['I', 'T', 'E', 'M', 'G'], ['M', 'E', 'R', 'G', 'E']]","[['F', 'L', 'A', 'W', 'N'], ['L', 'I', 'T', 'H', 'O'], ['E', 'N', 'T', 'A', 'L'], ['A', 'G', 'E', 'N', 'D'], ['M', 'E', 'R', 'G', 'E']]",False
Inference Before Training,11,"
h1. A crowd; a mob
h2. To get a fresh crew
h3. An American Indian tribe
h4. A tribal emblem
h5. A room for storing ewers
v1. To chafe or rub
v2. To sow again
v3. To subdue; to terrify; a Central American timber tree
v4. An electronic message device
v5. A foe
","[['M', 'O', 'B', '-', '-'], ['R', 'E', 'A', 'P', '-'], ['M', 'A', 'Y', 'A', '-'], ['T', 'O', 'T', 'E', 'M'], ['C', 'I', 'S', 'T', '-']]","[['F', 'R', 'A', 'P', 'E'], ['R', 'E', 'M', 'A', 'N'], ['O', 'S', 'A', 'G', 'E'], ['T', 'O', 'T', 'E', 'M'], ['E', 'W', 'E', 'R', 'Y']]",False
Inference Before Training,12,"
h1. A woodland
h2. An alarm
h3. A tropical lizard
h4. To increase; to lift up; to rear
h5. A duck, or its down; a quilt or comforter
v1. To stare at angrily; a harsh light
v2. A veranda
v3. A plant allied to the arum
v4. An edible seaweed (if you say so)
v5. An Arab prince
","[['F', 'O', 'R', 'E', 'S'], ['G', 'L', 'A', 'R', 'E'], ['R', 'A', 'I', 'S', 'E'], ['A', 'G', 'A', 'M', 'A'], ['D', 'U', 'V', 'E', 'T']]","[['G', 'L', 'A', 'D', 'E'], ['L', 'A', 'R', 'U', 'M'], ['A', 'N', 'O', 'L', 'E'], ['R', 'A', 'I', 'S', 'E'], ['E', 'I', 'D', 'E', 'R']]",False
Inference Before Training,13,"
h1. A woodland
h2. A flight feather
h3. The soft palate
h4. Mesial; median
h5. A river boat
v1. A complainer
v2. Flat; a stage; to be honest with
v3. To entertain
v4. To dally; to put off
v5. To praise; to raise higher
","[['F', 'O', 'R', 'E', 'S'], ['O', 'R', 'A', 'L', 'E'], ['R', 'A', 'C', 'T', 'S'], ['E', 'A', 'P', 'E', 'D'], ['S', 'T', 'R', 'A', 'F', 'T']]","[['G', 'L', 'A', 'D', 'E'], ['R', 'E', 'M', 'E', 'X'], ['U', 'V', 'U', 'L', 'A'], ['M', 'E', 'S', 'A', 'L'], ['P', 'L', 'E', 'Y', 'T']]",False
Inference Before Training,14,"
h1. A language
h2. To impose a fine upon
h3. To lower; to reduce
h4. To clean; to wash quickly with water
h5. Atap, the nipa palm
v1. A tropical American tree
v2. Not bitten
v3. A heraldic mastiff
v4. A dog whelk or its shell
v5. A computer user
","[['S', 'P', 'A', 'N', 'I', 'S', 'H'], ['P', 'E', 'N', 'A', 'L'], ['L', 'O', 'W', 'E', 'R'], ['R', 'I', 'N', 'S', 'E'], ['T', 'H', 'A', 'T', 'C', 'H']]","[['G', 'U', 'A', 'N', 'G'], ['U', 'N', 'L', 'A', 'W'], ['A', 'B', 'A', 'S', 'E'], ['R', 'I', 'N', 'S', 'E'], ['A', 'T', 'T', 'A', 'P']]",False
